Puzzle,Solution,
..3..6.14...3......5.4.1.9...51.36..4....9..3.2....98.....4.5.6.........9......2.,273596814149378265658421397795183642481269753326754981812947536564832179937615428,
93..27.........3..52..4......2....4.6..2..5...59.....1416....23........437....6..,931627458864159372527348169182573946643291587759864231416985723295736814378412695,
......5.7..12....393.4....1..41...6..2.....1..7......959..2.3.4..6..4.7..........,462318597751269843938475621384192765629753418175846239597621384816534972243987156,
81..3.4.........1.2.4.......4.58.93.1..3.25....871....4........38.....5........72,815637429693254718274198365742586931169342587538719246426875193387921654951463872,
6.4......2.8.93.6..1........831.....9.6.4............8.2......5...32....4..6.9..1,694251387258793164317864952583172496976548213142936578829417635761325849435689721,
249..78........5.....326...5....4.8..2.....733..8......7..53...8.46...........6..,249517836763489512185326794596734281428165973317892465672953148854671329931248657,
.87..96...9......52...6...85...........98....6..3.7.9.7...........234.8..5.....42,387529614496178235215463978579641823134982756628357491742815369961234587853796142,
79..58.1285..7.......1..........2.....374....24.59..8........2.5.2.....741.....9.,796358412851274963324169578965812734183746259247593186679435821532981647418627395,
.4...167..5......1..9.6...24.2...96........2..9.2..3.5...3....691...5.......7.4..,248951673657432891139867542482513967563789124791246385875394216914625738326178459,
.2...........7...8...2...97..47...6.7.6..3.89.5964.7.33...6.....9..5....4.293....,627895134941376258583214697234789561716523489859641723375168942198452376462937815,
..3....9..7...1...1..9..846..46.39.1.3......8...4.2.3.......3..9......64..7....1.,863524197479861253125937846254683971631795428798412635546179382912358764387246519,
..9...8...7.3...6.16...792..36..........2........137..5..79....6.8....9......83..,359162874872349165164587923936874251741925638285613749513796482628431597497258316,
...9.63.5....3......7.....6..8..5.14....78.....6.9.73.....69....1.5...4..64.....7,182946375659732481347851296738625914491378562526194738875469123213587649964213857,
....1.387..5.7421.1..2...5....86..3..7......4..8...7..4.....5....34.......638....,264519387835674219197238456549867132672153894318942765481796523953421678726385941,
6..5.2.4.83...4..65..1...73.......641.........26...3.........1231...5....75..6...,697532841831794256542168973753829164184653729926471385469387512318245697275916438,
1...85....92.......3.7.15...8.2....1.71.....3...3..7...29..8.....3.....7.....6..5,147985236592643178836721549384257691271869453965314782629578314453192867718436925,
.75..42.3......564.8.......8...6.35............41........5...1..13.2........7.8.2,675914283931287564482356179897462351126735498354198726268543917713829645549671832,
...34...8......4728..2...39.3..74.6..456...2..6.82.7.....9.......9.8...6....6....,192347658356198472874256139238574961745619823961823745617932584429785316583461297,
4..8.7.5268...5.7...2.6.4.....2.8.1..5...9..7....4......95.6.8......4...........1,491837652683425179572961438347258916258619347916743825139576284825194763764382591,
..74.1..85...9...731..78...........6...6.7.5.......43..469..5........1...7......9,627451398584396217319278645492135786831647952765829431146982573958763124273514869,
...538..1..9...375.......8..6.2...535...89.........86.....16...1.3...9....279....,726538491489162375351974682968241753537689124214357869895416237173825946642793518,
.89.7..........7.5..3..4...471..68..83.9...4...........14..75.6......9..65.1.9..3,589671234142893765763254189471536892835912647296748351914387526327465918658129473,
15.3....6.3.89....68.5.7......23..5.3...........7...69915.....8.6......2...981...,159324786732896514684517923476239851398165247521748369915672438867453192243981675,
.....13.8..4.....1....9........6..1..3...8...2..1.9.85.1.....2..8.....6992..5....,592671348364285971178394652859467213731528496246139785615943827483712569927856134,
..8.2...1...8.62...2..4..3..7...2...5..43.6..4.6..18.3...........41..5........3.7,958327461347816295621945738873692154512438679496751823185273946734169582269584317,
....753....5..3.49.93.1.78........9....7..45......4...7...9....6....1..8.41.3....,468975312175823649293416785514362897326789451987154263752698134639241578841537926,
2....7......912.......3.....67...94..1..6....9...8....1....6.2...3....7.8.9.2361.,281647593536912487794538261367251948418369752952784136145876329623195874879423615,
.19.......8.......6....9.......7...179..64.32....21.6..72.4.39.83...61....4...8.7,419253678283617945657489213326975481791864532548321769172548396835796124964132857,
73815...........7..19.3..4....4...9.....6.....8.....173....54.6..137...5.9.6.....,738154269564829173219736548156487392973261854482593617327915486641378925895642731,
.9.4.8.......6.3......17.4.481........5....1.....5.6...79.8.5..1........8.653...7,693428751714965382528317946481693275965872413237154698379281564152746839846539127,
7.6..4..343....9....26..5..2..97..6.....6..3.6..4.2....8...7.......95......3..4..,796854213435721986812639547258973164941568732673412859389147625164295378527386491,
...7.3..6..........4...58.7.1.8..4.36.5..41...7..2.6....1.68...73...2...4.81.....,159783246867249531243615897912876453685934172374521689591368724736452918428197365,
178......4.5...3..6...5...1.8.......7.......99.18...75..31.89....7.3.51..........,178349652425681397639752481382597146756214839941863275563178924297436518814925763,
6....571..........9...13..........4..19....3..8..67.......8139..6.5.98..5.......4,642895713831726459975413286256138947719254638384967521427681395163549872598372164,
..3.....6.4..61.8.9......5.18..3..64.3..849.5...6...3.5..79......8..3.......58.9.,813975426245361789967842153189537264736284915452619837521796348698423571374158692,
47..9.....1......5.....34.2.3.......5......6.691....5.7..54.1...5.13...4...7.2..6,478295613312467895965813472237658941584921367691374258723546189856139724149782536,
..6.......5..8........96...18..4..2..3...1..9.2....5..9..1.526......984.3........,896512437451783692273496158185947326634251789729638514948175263567329841312864975,
2......1......7......2..54.9...1...3..7.9.6254...3....37......1...6......6...927.,253984716649157832718263549925716483137498625486532197374825961892671354561349278,
..39.6.1.5.6.....31......9........8.96458...1...4.3.7..4.65...8..8......31.......,483976512596218743172345896237169485964587321851423679749652138628731954315894267,
..6.419.7.....51..9......3...7..2.1..65.19.72....7.......4.....3.2.....5..4..7...,536241987748935126921768534497582613865319472213674859179453268382196745654827391,
...7..8....6......4.5.6...2..8.724.....95.....57..8.29.64............5..3.24...78,931724865826513947475869132698372451243951786157648329564187293789236514312495678,
...35.2...6.1..98..2..8975...9...3278...1...6.5....8..5...6.1..7.6..........9....,978354261365172984124689753619845327832917546457236819543768192796521438281493675,
2.1....5..58.764.....5...7.....8..4......45.9.6..5.....9.....14...4..6.2..6..79..,271948356358276491649531278935682147827314569164759823592863714713495682486127935,
.12.94..8..7..6.1.8...3...9.......8.......173..8...2.6.3..8...22.4.....1...46.9..,312594768497826315856731429673219584925648173148357296739185642264973851581462937,
.27..1...1.6.8.......4..3..2..5..8...1..26.5...5.4..7.5.1.......6.......784...6.5,327951468146283597859467321273519846418726953695348172531674289962835714784192635,
2...6..5...9.8...3..85...42.....5.28.85..31.............4.1..3.6...295..91.......,231964857549782613768531942396175428485293176127846395854617239673429581912358764,
6..8....4..8.4..695........32...97.58.6.32.....47..6.....6.........5.......39.54.,619873254738245169542916837321469785876532491954781623495627318283154976167398542,
2.....4..4.185...2......15..3.....15..5.68.3.......8...185..72..74...5.3.2..3....,253671498461859372789243156837924615145768239692315847318596724974182563526437981,
59..3...73.19...52..7.21.4.......4...78..9.219....78.....4.....2....3.9..5...2...,592634187341978652867521943623815479478369521915247836739486215286153794154792368,
9.....5..5...8.4.7.1..32.9..5..247.34..9....1.3..1..5.....4...9..2.....5.....7...,986471532523689417714532896159824763467953281238716954871345629642198375395267148,
..7.2...5129....7..8..6.1....2..5.........51......6.39..8.92.56.9....8..7.61.....,467321985129584673583967124932815467674239518851746239318492756295673841746158392,
.6.4.8.3.7.4...1...3.........8.49..1.7.8.65.91........3.97..4....71........6..8..,961478235754932186832561794528349671473816529196257348319785462687124953245693817,
....3.6......618....2.7..9.9..5..38..35..7...8.....27.179....3.25......6..8......,781935642394261857562478193927516384435827961816394275179642538253789416648153729,
..93..1...3...58....6.48.7..81.......64..3...5..9.7....9.7...5......96....8.....4,849372165137695842256148973981254736764813529523967418492786351315429687678531294,
..8.1..5...6..5..22...4..7......97...4.....6.8.1..2.95...76.....19...........16..,498217356176935842253846179562489731947153268831672495325768914619324587784591623,
2.3.1...7.51.....9..94.51..........6......725..7....3..3.9.6...6127......9.3.....,263819457451672389879435162345297816986143725127568934738956241612784593594321678,
.8.....1......3..7...5......3.1..765..5...8....6.8......4...1...537.12...2.3.4.8.,589476312462813957317529648938142765145637829276985431694258173853761294721394586,
.3..761..5......7.8..3..64...19..8.......17.....85.9.4...7..3..9....8......1...9.,234576189516489273879312645451967832398241756762853914125794368947638521683125497,
.98..35.1.5....4....7.6............3...9..18.3.5..764....87...........6..8.4....5,698743521253198476147562398879614253462935187315287649534876912721359864986421735,
.79..4..8....96.1.41....95.58.2......9.....4.7.........2..5.4..8...6..21...7...9.,679514238235896714418372956584231679391687542762945183923158467857469321146723895,
2.41.....98........5.....1.74...8....9832..7...5..9......9...32...2431......5...4,264175389981436257357892416743568921198324675625719843416987532579243168832651794,
42...........26.5.8....7.14..8.4...5..1.......4..82..3...1...3..6..7...83......6.,429815376713426859856937214978341625231659487645782193594168732162573948387294561,
5...9..47...8...9...8.7.3...2.1..7.4...9.....8....4.3.....5.......7..4.8.91.3...5,562391847173846592948275361629183754435927186817564239784652913356719428291438675,
..8.32..9.697...2..12.6..........9..4.....178..6..94.3.....6........4387...3..2..,748532619369741825512968734851473962493625178276819453937286541625194387184357296,
1........4.8.1..5.3.2.....82.693...1....51.6.5...84.3..2......39.3.........3..9.2,165893724498712356372465198286937541734251869519684237621579483943128675857346912,
..3...6....18..2.....4.9.8.4...2......2...8.91.8....2....97..3..69..2....1...3..4,983251647641837295725469381496728513532614879178395426854976132369142758217583964,
..9....5....478...7...5.41.2..7.........9.7....12.....8.........9..8.26.4.5621...,349162857512478639768359412283716594654893721971245386826937145197584263435621978,
34....7.5......38...5.36.2..7.4.....8.9......6....9..7...6.843...6..3.98......6..,342891765761524389985736124173482956859167243624359817597618432416273598238945671,
4975...........5....69........76.18..1....4......8..959.....7...2..5.81..8.1.4...,497512368132846579856937241549763182618295437273481695961328754724659813385174926,
